Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive science,Philosophy
Alberta,Information Processing,"Best Presentation, North America",1,7,,,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGU_Israel,Environment,"Best Presentation, Europe, Overgrad",2,13,,1,1,,,,,1,,,7,,,,,,,,1.5,,,,,,,,,,,,,1,,,,,,,,,,,,0.5
Arizona_State,Health & Medicine,,3,8,,,,,,3,,,2,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ATOMS-Turkiye,Health & Medicine,,1,12,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baskent_Meds,Health & Medicine,,3,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,Manufacturing,,1,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bielefeld-Germany,Food & Energy,"Best Presentation, Europe, OvergradRegional Finalist, Europe, OvergradGrand Prize Winner, Europe, OvergradFirst Runner Up, OvergradBest Food & Energy Project, OvergradFinalist, Overgrad",1,10,8,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOSINT_Mexico,Health & Medicine,,3,7,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIT,Food & Energy,,1,17,6,,,,,,,,,,6,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIT-China,New Application,,1,11,2,,,,,2,,,,,3,,,2,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Bonn,Foundational Advance,,3,20,1,,17,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Bordeaux,Food & Energy,,4,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BostonU,Foundational Advance,"Best Parts Collection, North America",1,5,,,,,,1,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braunschweig,New Application,"Best New Application Project, Overgrad",1,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
BYU_Provo,Foundational Advance,,1,12,,,2,,,7,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary,Food & Energy,"Best Wiki, North AmericaRegional Finalist, North AmericaBest Food & Energy Project, Undergrad",1,10,,,3,,,5.5,,,0.5,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary_Entrepreneurial,Entrepreneurship,Best Entrepreneurship Project,4,7,,,,,,4,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie_Mellon,Health & Medicine,"Best Poster, North America",2,5,,,,,,3,,,,,,1.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiba,New Application,,2,11,5,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciencias-UNAM,Health & Medicine,,2,6,,,,,,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Clemson,Environment,,2,7,1,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia_Uniandes,Environment,"Best Wiki, Latin America, OvergradBest Model, Latin America, Overgrad",2,14,,,,,,7.5,,2,,,,2,,,0.5,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
CSU_Fort_Collins,Food & Energy,,4,6,,,,,,2.5,,0.5,1,,0.5,0.5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CU-Boulder,New Application,"Best New BioBrick Part or Device, Engineered, North America, Overgrad",1,5,,,,,,2,,,1,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
DTU-Denmark,Environment,,1,12,1,,,,,5,,3,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,New Application,,2,8,,,,,,2,,,,,,,,,1.5,2.5,,,,,1,,,,,,,,,,,,,0.5,,,,,0.5,,,,,
Dundee,Environment,"Best Presentation, EuropeRegional Finalist, EuropeGrand Prize Winner, EuropeiGEMer's PrizeBest Presentation, Undergrad",1,10,,,1,,,6,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,
Edinburgh,Environment,,1,5,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
EPF_Lausanne,New Application,,2,10,,,,,,9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH_Zurich,Information Processing,"Best Poster, Europe, OvergradBest Information Processing Project, Overgrad",1,6,3,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evry,Health & Medicine,"Best Human Practices Advance, Europe, Overgrad",1,9,,1,,,,4,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,
Exeter,Foundational Advance,,2,10,,,0.5,,,4.5,,,2,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Frankfurt,Food & Energy,,4,5,1,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensboro-Austin,Manufacturing,,1,10,,,,,,4,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenoble-EMSE-LSU,New Application,"Best Model, Europe",1,10,3.5,,,,,2,,0.5,,,,,,,,,,,1,,1,,,,,2,,,,,,,,,,,,,,,,,,
Heidelberg,Foundational Advance,"Best Poster, EuropeGrand Prize Winner, UndergradBest Foundational Advance Project, UndergradFinalist, Undergrad",1,13,11.5,1,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Hong_Kong_CUHK,New Application,Best BioBrick Part or Device (Asia),2,12,2,,,,,2,,1,2,,,,,,,3.5,,1,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
Hong_Kong_HKU,Environment,"Best Wiki, Asia, OG; Regional finalist, Asia, OG",2,11,1,,2,,,,,,4,,,,,1,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
Hong_Kong_HKUST,Health & Medicine,,1,13,,,1,,,4.5,,0.5,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
HUST-China,Health & Medicine,,2,17,3.5,5,1,,,4,,,0.5,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
